"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Lapland holidays @inw","Chromium","Tue Aug 19 10:27:25 UTC 2025","skipped","Tue Aug 19 10:27:25 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","An ECMS user creates a RTE component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 10:27:25 UTC 2025","skipped","Tue Aug 19 10:27:25 UTC 2025","Rich Text Editor","tests/e2e_tests/inw_tests/components/richTextEditor.spec.ts","",""
"","62329","The broad search proceeds with duration, adult, and child guests for Walking holidays @inw","Chromium","Tue Aug 19 10:06:26 UTC 2025","passed","Tue Aug 19 10:07:28 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky for Lapland holidays @inw","Chromium","Tue Aug 19 10:27:25 UTC 2025","skipped","Tue Aug 19 10:27:25 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","188305","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Ski holidays when the details have been updated. @inw","Chromium","Tue Aug 19 10:15:18 UTC 2025","broken","Tue Aug 19 10:18:27 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Ski holidays @inw","Chromium","Tue Aug 19 10:27:25 UTC 2025","skipped","Tue Aug 19 10:27:25 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","0","The search bar should be displayed as sticky for Ski holidays @inw","Chromium","Tue Aug 19 10:27:25 UTC 2025","skipped","Tue Aug 19 10:27:25 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","48511","The broad search proceeds with duration only for Walking holidays @inw","Chromium","Tue Aug 19 10:01:26 UTC 2025","passed","Tue Aug 19 10:02:14 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","47098","An ECMS user creates a Grey Box component and views it on the General Content page @inw @component undefined","Chromium","Tue Aug 19 10:03:07 UTC 2025","passed","Tue Aug 19 10:03:54 UTC 2025","Grey Box","tests/e2e_tests/inw_tests/components/greyBox.spec.ts","",""
"","48204","The broad search proceeds with duration and adult guests for Walking holidays @inw","Chromium","Tue Aug 19 10:06:00 UTC 2025","passed","Tue Aug 19 10:06:48 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
