"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53471","The broad search proceeds with default values for Lapland holidays @inw","Chromium","Tue Aug 19 00:51:10 UTC 2025","passed","Tue Aug 19 00:52:04 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","58595","The broad search proceeds with duration only for Walking holidays @inw","Chromium","Tue Aug 19 00:50:51 UTC 2025","passed","Tue Aug 19 00:51:49 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Walking holidays @inw","Chromium","Tue Aug 19 01:09:52 UTC 2025","skipped","Tue Aug 19 01:09:52 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","66609","An ECMS user creates a Pill component and views it on the General Content page undefined @inw @component","Chromium","Tue Aug 19 00:59:23 UTC 2025","passed","Tue Aug 19 01:00:30 UTC 2025","Pills","tests/e2e_tests/inw_tests/components/pills.spec.ts","",""
"","57510","The broad search proceeds with duration only for Lapland holidays @inw","Chromium","Tue Aug 19 00:51:11 UTC 2025","passed","Tue Aug 19 00:52:09 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky on Resort details page for Lapland holidays @inw","Chromium","Tue Aug 19 01:09:52 UTC 2025","skipped","Tue Aug 19 01:09:52 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","192615","An ECMS user creates a CTB component and views it on the General Content page undefined @component @inw","Chromium","Tue Aug 19 00:58:57 UTC 2025","broken","Tue Aug 19 01:02:10 UTC 2025","Call to Book","tests/e2e_tests/inw_tests/components/ctb.spec.ts","",""
"","0","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Walking holidays when the details have been updated. @inw","Chromium","Tue Aug 19 01:09:52 UTC 2025","skipped","Tue Aug 19 01:09:52 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","63312","The broad search proceeds with duration, adult, and child guests for Walking holidays @inw","Chromium","Tue Aug 19 00:57:16 UTC 2025","passed","Tue Aug 19 00:58:20 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","34592","The broad search proceeds with default values and location for Lapland holidays @inw","Chromium","Tue Aug 19 00:59:01 UTC 2025","passed","Tue Aug 19 00:59:35 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
