"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Walking holidays @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","182009","Search bar should display Number of nights, Number of guests, Departure location and Date on Resort details page for Ski holidays @inw","Chromium","Tue Aug 19 02:43:41 UTC 2025","broken","Tue Aug 19 02:46:43 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search bar should be displayed as sticky for Ski holidays @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Ski holidays @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","5689","PCMS User Login","get storage state","Tue Aug 19 02:28:27 UTC 2025","passed","Tue Aug 19 02:28:33 UTC 2025","","setup/global.setup.ts","",""
"","28826","The broad search proceeds with default values and location for Walking holidays @inw","Chromium","Tue Aug 19 02:35:46 UTC 2025","passed","Tue Aug 19 02:36:15 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","46489","The broad search proceeds with duration only for Walking holidays @inw","Chromium","Tue Aug 19 02:29:47 UTC 2025","passed","Tue Aug 19 02:30:34 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","56506","The broad search proceeds with duration, adult, and child guests for Lapland holidays @inw","Chromium","Tue Aug 19 02:36:27 UTC 2025","passed","Tue Aug 19 02:37:23 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky on Resort details page for Lapland holidays @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","25907","The broad search proceeds with default values and location for Ski holidays @inw","Chromium","Tue Aug 19 02:35:18 UTC 2025","failed","Tue Aug 19 02:35:44 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","0","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Lapland holidays when the details have been updated. @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Lapland holidays @inw","Chromium","Tue Aug 19 02:46:49 UTC 2025","skipped","Tue Aug 19 02:46:49 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","187590","An ECMS user creates a CTB component and views it on the General Content page undefined @component @inw","Chromium","Tue Aug 19 02:33:47 UTC 2025","broken","Tue Aug 19 02:36:55 UTC 2025","Call to Book","tests/e2e_tests/inw_tests/components/ctb.spec.ts","",""
"","51289","The broad search proceeds with duration only for Ski holidays @inw","Chromium","Tue Aug 19 02:28:35 UTC 2025","passed","Tue Aug 19 02:29:26 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","48246","The broad search proceeds with duration and adult guests for Ski holidays @inw","Chromium","Tue Aug 19 02:33:34 UTC 2025","passed","Tue Aug 19 02:34:22 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
