"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The search bar should be displayed as sticky for Ski holidays @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","46026","An ECMS user creates a Headline component and views it on the General Content page undefined @inw @component","Chromium","Wed Aug 20 09:18:39 UTC 2025","passed","Wed Aug 20 09:19:25 UTC 2025","Headline","tests/e2e_tests/inw_tests/components/headline.spec.ts","",""
"","0","The search bar should display the updated number of nights, number of guests, departure location, and date on the Resort Details page for Lapland holidays when the details have been updated. @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","69810","An ECMS user creates an Accordion component and views it on the General Content page undefined @inw @component","Chromium","Wed Aug 20 09:15:08 UTC 2025","passed","Wed Aug 20 09:16:18 UTC 2025","Accordion","tests/e2e_tests/inw_tests/components/accordion.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Ski holidays @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","0","The search results are to be grouped by using a toggle to group by Accommodation or Resorts for Walking holidays @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
"","49177","An ECMS user creates a CTA button component and views it on the General Content page undefined @inw @component","Chromium","Wed Aug 20 09:17:05 UTC 2025","passed","Wed Aug 20 09:17:54 UTC 2025","CTA Button","tests/e2e_tests/inw_tests/components/ctaButton.spec.ts","",""
"","29748","The broad search proceeds with default values and location for Lapland holidays @inw","Chromium","Wed Aug 20 09:21:39 UTC 2025","passed","Wed Aug 20 09:22:09 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","53312","An ECMS user creates a Pill component and views it on the General Content page undefined @inw @component","Chromium","Wed Aug 20 09:22:02 UTC 2025","passed","Wed Aug 20 09:22:55 UTC 2025","Pills","tests/e2e_tests/inw_tests/components/pills.spec.ts","",""
"","51838","The broad search proceeds with duration only for Ski holidays @inw","Chromium","Wed Aug 20 09:15:08 UTC 2025","passed","Wed Aug 20 09:16:00 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","45129","The broad search proceeds with duration and adult guests for Walking holidays @inw","Chromium","Wed Aug 20 09:20:13 UTC 2025","passed","Wed Aug 20 09:20:58 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","49282","An ECMS user creates a CTB component and views it on the General Content page undefined @component @inw","Chromium","Wed Aug 20 09:18:58 UTC 2025","failed","Wed Aug 20 09:19:48 UTC 2025","Call to Book","tests/e2e_tests/inw_tests/components/ctb.spec.ts","",""
"","0","The search bar should be displayed as sticky on Resort details page for Lapland holidays @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","23007","The broad search proceeds with default values for Ski holidays @inw","Chromium","Wed Aug 20 09:16:04 UTC 2025","failed","Wed Aug 20 09:16:27 UTC 2025","Broad Search","tests/e2e_tests/inw_tests/components/broadSearch.spec.ts","",""
"","0","An ECMS user creates a RTE component and views it on the General Content page undefined @inw @component","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Rich Text Editor","tests/e2e_tests/inw_tests/components/richTextEditor.spec.ts","",""
"","17593","The search bar should be displayed as sticky on Resort details page for Walking holidays @inw","Chromium","Wed Aug 20 09:31:22 UTC 2025","failed","Wed Aug 20 09:31:39 UTC 2025","Search","tests/e2e_tests/inw_tests/components/resortPage.spec.ts","",""
"","26225","The broad search proceeds with default values and location for Ski holidays @inw","Chromium","Wed Aug 20 09:20:48 UTC 2025","failed","Wed Aug 20 09:21:14 UTC 2025","Partial Search","tests/e2e_tests/inw_tests/components/partialSearch.spec.ts","",""
"","0","The search bar should be displayed as sticky for Lapland holidays @inw","Chromium","Wed Aug 20 09:31:42 UTC 2025","skipped","Wed Aug 20 09:31:42 UTC 2025","Search","tests/e2e_tests/inw_tests/components/searchResultPage.spec.ts","",""
